service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12095073,0,0,0,0,0,0,0,20160227,20160709
12095074,0,0,0,0,0,0,0,20160712,20160726
12095075,0,0,0,0,0,0,0,20160714,20160723
2025088,0,0,0,0,0,0,0,20160327,20160515
2025086,0,0,0,0,0,0,0,20160715,20160715
12095070,0,0,0,0,0,0,0,20160131,20160715
12095071,0,0,0,0,0,0,0,20160201,20160711
2025084,0,0,0,0,0,0,0,20160506,20160506
12095072,0,0,0,0,0,0,0,20160223,20160708
2025081,0,0,0,0,0,0,0,20160716,20160723
2095075,0,0,0,0,0,0,0,20160713,20160722
11539794,0,0,0,0,0,0,0,20160622,20160622
2095074,0,0,0,0,0,0,0,20160711,20160725
1539794,0,0,0,0,0,0,0,20160621,20160621
12025075,0,0,0,0,0,0,0,20160718,20160725
2025075,0,0,0,0,0,0,0,20160717,20160724
12095068,0,0,0,0,0,0,0,20160128,20160701
2095072,0,0,0,0,0,0,0,20160222,20160707
12095069,0,0,0,0,0,0,0,20160130,20160625
2095073,0,0,0,0,0,0,0,20160226,20160708
2095070,0,0,0,0,0,0,0,20160130,20160714
2095071,0,0,0,0,0,0,0,20160131,20160710
12025088,0,0,0,0,0,0,0,20160328,20160516
12025086,0,0,0,0,0,0,0,20160716,20160716
12025084,0,0,0,0,0,0,0,20160507,20160507
2095069,0,0,0,0,0,0,0,20160129,20160624
12025081,0,0,0,0,0,0,0,20160717,20160724
2095068,0,0,0,0,0,0,0,20160127,20160630
