service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12025128,0,0,0,0,0,0,0,20160131,20160724
12025129,0,0,0,0,0,0,0,20160507,20160723
2025129,0,0,0,0,0,0,0,20160506,20160722
12025130,0,0,0,0,0,0,0,20160130,20160528
2025127,0,0,0,0,0,0,0,20160127,20160531
2025128,0,0,0,0,0,0,0,20160130,20160723
2025125,0,0,0,0,0,0,0,20160131,20160724
2025126,0,0,0,0,0,0,0,20160601,20160725
12025125,0,0,0,0,0,0,0,20160201,20160725
2025130,0,0,0,0,0,0,0,20160129,20160527
12025126,0,0,0,0,0,0,0,20160602,20160726
12025127,0,0,0,0,0,0,0,20160128,20160601
