service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12025152,0,0,0,0,0,0,0,20160131,20160529
12025150,0,0,0,0,0,0,0,20160223,20160701
2025149,0,0,0,0,0,0,0,20160127,20160414
2025148,0,0,0,0,0,0,0,20160605,20160724
2025147,0,0,0,0,0,0,0,20160131,20160529
2025158,0,0,0,0,0,0,0,20160704,20160725
2025152,0,0,0,0,0,0,0,20160130,20160528
2025153,0,0,0,0,0,0,0,20160604,20160723
2025150,0,0,0,0,0,0,0,20160222,20160630
2025156,0,0,0,0,0,0,0,20160506,20160722
2025157,0,0,0,0,0,0,0,20160715,20160715
2025154,0,0,0,0,0,0,0,20160129,20160415
2025146,0,0,0,0,0,0,0,20160327,20160515
2025155,0,0,0,0,0,0,0,20160226,20160624
12025146,0,0,0,0,0,0,0,20160328,20160516
12025147,0,0,0,0,0,0,0,20160201,20160530
12025157,0,0,0,0,0,0,0,20160716,20160716
12025148,0,0,0,0,0,0,0,20160606,20160725
12025149,0,0,0,0,0,0,0,20160128,20160415
12025158,0,0,0,0,0,0,0,20160705,20160726
12025155,0,0,0,0,0,0,0,20160227,20160625
12025156,0,0,0,0,0,0,0,20160507,20160723
12025153,0,0,0,0,0,0,0,20160605,20160724
12025154,0,0,0,0,0,0,0,20160130,20160416
